no_individuals,no_markers,time_PyMSQ,time_gamevar,peak_memory_usage_PyMSQ,peak_memory_usage_gamevar
5000,1000,6.01,99.875,0.518600464,0.013973236
5000,1000,4.01,99.9469986,0.550571442,0.013847351
5000,1000,4.01,100.591003,0.546611786,0.013744354
5000,1000,4,100.588997,0.551563263,0.013748169
5000,1000,4,101.056,0.549343109,0.014060974
5000,1000,4.01,101.698997,0.552474976,0.013916016
5000,1000,4.01,101.843002,0.549034119,0.014083862
5000,1000,4.01,101.880997,0.550357819,0.013774872
5000,1000,4.01,101.869003,0.561164856,0.013893127
5000,1000,6.01,105.646004,0.562397003,0.013896942
10000,1000,8.04,196.25,0.766304016,0.01423645
10000,1000,8.04,198.018005,0.77576828,0.014003754
10000,1000,8.04,198.268997,0.784908295,0.014225006
10000,1000,8.04,199.945007,0.788600922,0.014022827
10000,1000,8.04,200.835007,0.789894104,0.014015198
10000,1000,8.04,200.910995,0.792640686,0.013950348
10000,1000,8.04,201.345993,0.796195984,0.013912201
10000,1000,8.04,201.792999,0.798690796,0.013877869
10000,1000,8.04,203.363998,0.801372528,0.014163971
10000,1000,8.04,204.197006,0.801673889,0.014091492
15000,1000,12.04,286.161011,1.017993927,0.014198303
15000,1000,12.04,289.713013,1.026729584,0.013988495
15000,1000,10.13,288.27301,1.029975891,0.014015198
15000,1000,12.05,295.113007,1.033496857,0.014064789
15000,1000,12.04,296.828003,1.037212372,0.014045715
15000,1000,12.04,297.217987,1.039905548,0.01398468
15000,1000,12.04,296.549011,1.040744781,0.014152527
15000,1000,12.07,301.467987,1.043266296,0.014148712
15000,1000,10.14,304.743988,1.045822144,0.014152527
15000,1000,12.12,293.023987,1.045814514,0.014209747
20000,1000,14.08,381.769012,1.270217896,0.014080048
20000,1000,14.08,384.406006,1.274555206,0.01404953
20000,1000,14.08,384.838013,1.279197693,0.014095306
20000,1000,14.08,388.747986,1.280590057,0.014385223
20000,1000,14.08,392.093994,1.282207489,0.014320374
20000,1000,14.08,391.571991,1.285308838,0.014076233
20000,1000,14.08,392.88501,1.285041809,0.014381409
20000,1000,16.08,395.162994,1.288394928,0.014019012
20000,1000,14.08,396.855988,1.281585693,0.014080048
20000,1000,14.07,396.167999,1.28219223,0.013866425
25000,1000,18.1,494.919006,1.506275177,0.014102936
25000,1000,18.12,480.496002,1.513565063,0.014217377
25000,1000,18.11,485.652008,1.520950317,0.014297485
25000,1000,18.11,489.921997,1.52596283,0.014316559
25000,1000,18.11,501.035004,1.526428223,0.014129639
25000,1000,20.12,500.010986,1.529460907,0.014297485
25000,1000,18.11,500.549988,1.530422211,0.014369965
25000,1000,18.11,508.040009,1.535652161,0.014312744
25000,1000,18.11,490.924011,1.539234161,0.014297485
25000,1000,18.11,468.183014,1.543636322,0.01410675
30000,1000,20.28,569.002991,1.764980316,0.014183044
30000,1000,20.27,576.473999,1.775215149,0.014297485
30000,1000,20.3,584.78302,1.780239105,0.014354706
30000,1000,22.12,586.968018,1.781871796,0.014152527
30000,1000,22.26,581.671997,1.786495209,0.014186859
30000,1000,22.12,585.255981,1.787414551,0.014350891
30000,1000,22.12,591.432983,1.789230347,0.014186859
30000,1000,22.12,605.304993,1.790225983,0.014354706
30000,1000,22.13,593.72998,1.790466309,0.014354706
30000,1000,20.28,574.843018,1.791267395,0.014156342
35000,1000,24.15,677.822021,1.981376648,0.01436615
35000,1000,24.15,685.245972,1.994033813,0.014141083
35000,1000,24.15,690.270996,2.002540588,0.014350891
35000,1000,24.15,679.002014,2.004207611,0.014499664
35000,1000,24.15,671.866028,2.008155823,0.014198303
35000,1000,24.15,688.833984,2.009223938,0.01436615
