no_individuals,no_markers,time_PyMSQ,time_gamevar,peak_memory_usage_PyMSQ,peak_memory_usage_gamevar
500,2500,2,141.5,1.105659485,0.072925568
500,2500,2,141.501999,1.105033875,0.072917938
500,2500,2,142.904007,1.105033875,0.072780609
500,2500,2,143.063004,1.105033875,0.072761536
500,2500,2,143.360992,1.105113983,0.072902679
500,2500,2,143.477005,1.105113983,0.07277298
500,2500,2,152.057007,1.105113983,0.072841644
500,2500,2,152.179001,1.105113983,0.07283783
500,2500,2,152.283005,1.105220795,0.073062897
500,2500,2,152.511002,1.105220795,0.07283783
500,5000,4,621.599976,1.291492462,0.282745361
500,5000,4.01,622.570984,1.291492462,0.282661438
500,5000,4.01,624.429016,1.291809082,0.282707214
500,5000,4.01,625.491028,1.291809082,0.28269577
500,5000,4.01,626.45697,1.291809082,0.282714844
500,5000,4.01,626.494019,1.289855957,0.282684326
500,5000,4.01,626.741028,1.289855957,0.282711029
500,5000,4,628.880981,1.290302277,0.28263092
500,5000,4.01,630.745972,1.290302277,0.282711029
500,5000,4.01,633.015015,1.290302277,0.282711029
500,7500,8.04,1467.56604,1.52312851,0.632175446
500,7500,6.04,1468.71704,1.52312851,0.632137299
500,7500,8.04,1472.69299,1.523647308,0.631984711
500,7500,6.04,1473.89197,1.523777008,0.632217407
500,7500,6.04,1477.88599,1.523777008,0.632137299
500,7500,6.04,1478.44397,1.523777008,0.63218689
500,7500,6.04,1479.797,1.523777008,0.632282257
500,7500,8.04,1481.01001,1.523777008,0.632041931
500,7500,6.04,1482.58496,1.524288177,0.632137299
500,7500,6.04,1485.07104,1.524288177,0.632026672
500,10000,12.01,2477.94092,2.22278595,1.121364594
500,10000,10.05,2486.177,1.850414276,1.121162415
500,10000,10.05,2486.60791,1.851192474,1.121166229
500,10000,10.05,2489.38599,1.851192474,1.121372223
500,10000,10.05,2490.66406,1.849239349,1.121509552
500,10000,10.05,2498.58496,1.849514008,1.12121582
500,10000,10.05,2499.83789,1.849514008,1.121166229
500,10000,10.05,2502.81909,1.849514008,1.121456146
500,10000,10.05,2507.65796,1.849514008,1.121315002
500,10000,10.05,2508.98096,1.849514008,1.121353149
500,12500,16.05,3648.39502,2.415390015,1.750167847
500,12500,16.06,3648.45605,2.269870758,1.750247955
500,12500,16.05,3670.02905,2.280002594,1.750045776
500,12500,16.05,3670.375,2.289768219,1.750263214
500,12500,16.05,3716.4209,2.293674469,1.750320435
500,12500,16.05,3716.55298,3.433597565,1.750247955
500,12500,16.05,3718.20898,2.283916473,1.75025177
500,12500,16.05,3766.72192,2.299541473,1.750053406
500,12500,16.05,3767.06592,2.315166473,1.750205994
500,12500,16.05,3774.81201,2.324932098,1.750167847
500,15000,22.06,5651.44287,3.620666504,2.518661499
500,15000,20.02,5688.33105,3.835666656,2.518768311
500,15000,20.02,5700.87793,3.836097717,2.51896286
500,15000,22.03,5710.77979,3.83624649,2.518817902
500,15000,22.02,5723.46289,3.836708069,2.518806458
500,15000,22.03,5718.50195,3.839069366,2.518802643
500,15000,22.03,5738.68115,3.839027405,2.518821716
500,15000,22.03,5741.29785,3.839454651,2.518852234
500,15000,22.04,5745.12305,3.839508057,2.518741608
500,15000,22.03,5761.91113,3.839080811,2.518821716
500,17500,28.08,8063.05322,5.137878418,3.427101135
500,17500,28.07,8070.6499,4.146476746,3.426944733
500,17500,28.07,8084.13379,4.175178528,3.426902771
500,17500,28.07,8091.56201,4.145835876,3.427051544
500,17500,28.07,8108.58594,4.185703278,3.427101135
500,17500,28.07,8117.18994,4.170131683,3.427101135
500,17500,28.07,8133.86816,4.187831879,3.426902771
500,17500,28.07,8153.75098,4.19543457,3.427024841
500,17500,28.07,8156.52783,4.187812805,3.427196503
500,17500,28.07,8160.63281,4.177997589,3.427055359
500,20000,36.1,10348.9932,5.861816406,4.474876404
500,20000,34.08,10360.457,6.575866699,4.474933624
500,20000,34.08,10384.0742,6.665737152,4.47492218
500,20000,34.08,10386.5195,6.665756226,4.474880219
500,20000,34.08,10386.6289,6.665756226,4.474933624
500,20000,34.08,10425.5283,6.649982452,4.475082397
500,20000,34.08,10443.833,6.548492432,4.475067139
500,20000,34.08,10491.9688,6.55639267,4.475032806
500,20000,34.08,10482.3652,6.544582367,4.474945068
500,20000,34.08,10503.2861,6.560222626,4.475082397
500,22500,44.12,13408.9619,8.072517395,5.662689209
500,22500,44.08,13429.2158,7.908061981,5.662883759
500,22500,44.12,13452.1318,7.997364044,5.662536621
500,22500,44.08,13458.2646,8.222183228,5.662582397
500,22500,44.08,13521.4082,8.072460175,5.662658691
500,22500,42.09,13527.2158,8.132472992,5.6627388
500,22500,44.08,13521.4209,8.314628601,5.662593842
500,22500,42.08,13555.1016,8.250328064,5.662887573
500,22500,44.08,13533.4209,8.254154205,5.662540436
500,22500,42.08,13576.0508,8.236816406,5.662582397
500,25000,56.12,16449.0312,10.24343491,6.990150452
500,25000,54.13,16489.3066,8.11346817,6.990116119
500,25000,54.13,16541.5957,8.113483429,6.990116119
500,25000,54.13,16509.6816,8.113388062,6.990146637
500,25000,54.12,16520.1406,8.168064117,6.990116119
500,25000,54.1,16581.1328,8.283729553,6.990066528
500,25000,54.1,16586.4648,8.148578644,6.990062714
500,25000,54.12,16733.6523,8.177692413,6.990062714
500,25000,52.15,16676.1602,8.275455475,6.990062714
500,25000,54.1,16683.0137,8.182106018,6.989963531
500,27500,62.15,20124.8047,9.584392548,8.457035065
500,27500,64.15,20239.2578,10.15912247,8.457046509
500,27500,62.15,20246.877,10.27256393,8.457038879
500,27500,62.15,20281.2715,10.22745514,8.457023621
500,27500,62.15,20296.4043,10.21774673,8.457103729
500,27500,60.15,20279.8457,10.16499329,8.457046509
500,27500,58.14,20288.3008,10.17093658,8.45721817
500,27500,56.13,20323.6777,10.17271042,8.457324982
500,27500,58.14,20379.6074,10.22774887,8.457183838
500,27500,56.14,20440.0039,10.17095184,8.457035065
500,30000,74.13,24135.7129,14.46584702,10.06373978
500,30000,74.17,24079.9883,13.14403534,10.06394196
500,30000,72.17,24085.334,13.14645386,10.06380463
500,30000,72.13,24211.7676,14.51170349,10.06394577
500,30000,72.22,24287.0215,12.3142128,10.06380463
500,30000,76.13,24168.8457,14.42707825,10.06380081
