no_individuals,no_markers,time,peak_memory_usage
500,2500,4.01,0.431304932
500,2500,2,0.389572144
500,2500,2,0.354194641
500,2500,2,0.354198456
500,2500,2,0.354320526
500,2500,2,0.354637146
500,2500,2,0.354362488
500,2500,2,0.354362488
500,2500,2,0.354301453
500,2500,2,0.354354858
500,5000,4,0.678276062
500,5000,4.01,0.611251831
500,5000,4.01,0.615970612
500,5000,4.01,0.621688843
500,5000,4,0.615840912
500,5000,4,0.62191391
500,5000,4,0.61220932
500,5000,4.01,0.611251831
500,5000,4.01,0.698684692
500,5000,4.01,0.610389709
500,7500,6.04,0.899414063
500,7500,6.03,1.045040131
500,7500,6.04,0.970573425
500,7500,6.04,1.060390472
500,7500,6.04,1.062335968
500,7500,6.04,1.011558533
500,7500,6.04,1.070953369
500,7500,6.04,1.067333221
500,7500,6.04,1.119628906
500,7500,6.04,1.09841156
500,10000,10.01,1.870323181
500,10000,10.05,1.667736053
500,10000,10.05,1.695671082
500,10000,10.05,1.667675018
500,10000,10.05,1.667434692
500,10000,10.05,1.667133331
500,10000,10.05,1.400608063
500,10000,10.05,1.329380035
500,10000,10.05,1.344104767
500,10000,10.04,1.345001221
500,12500,14.05,2.345657349
500,12500,14.05,2.380397797
500,12500,14.05,2.380512238
500,12500,14.05,2.380657196
500,12500,14.05,2.362270355
500,12500,14.05,2.334983826
500,12500,14.05,2.292076111
500,12500,14.05,2.352294922
500,12500,14.05,2.299743652
500,12500,14.05,2.201049805
500,15000,20.02,3.178211212
500,15000,20.14,3.080532074
500,15000,20.14,3.177722931
500,15000,20.15,3.080162048
500,15000,20.14,3.163162231
500,15000,20.14,3.186191559
500,15000,20.12,3.21894455
500,15000,20.14,3.096012115
500,15000,20.14,3.173675537
500,15000,20.15,3.147323608
500,17500,24.06,4.124732971
500,17500,24.06,4.157730103
500,17500,24.06,4.185146332
500,17500,24.07,4.184783936
500,17500,26.07,4.068454742
500,17500,24.06,4.185173035
500,17500,24.07,4.186286926
500,17500,24.06,4.194412231
500,17500,24.06,4.18504715
500,17500,24.06,4.156967163
500,20000,32.2,5.30267334
500,20000,32.08,6.026935577
500,20000,32.08,6.00271225
500,20000,32.08,5.990539551
500,20000,32.08,6.007328033
500,20000,32.08,5.99779892
500,20000,32.08,5.985877991
500,20000,32.07,5.99054718
500,20000,32.08,6.039558411
500,20000,32.08,5.996379852
500,22500,38.27,7.334621429
500,22500,38.13,7.696941376
500,22500,38.09,7.742588043
500,22500,38.13,7.672950745
500,22500,38.11,7.678474426
500,22500,38.1,7.674278259
500,22500,38.08,7.702362061
500,22500,38.09,7.70558548
500,22500,38.1,7.664093018
500,22500,38.1,7.684326172
500,25000,48.13,7.941059113
500,25000,48.07,7.947002411
500,25000,46.09,7.895885468
500,25000,48.11,7.901550293
500,25000,48.09,7.941368103
500,25000,46.09,7.939785004
500,25000,46.09,7.8695755
500,25000,46.17,7.931472778
500,25000,48.09,7.941360474
500,25000,46.09,7.940032959
500,27500,56.14,9.399326324
500,27500,56.14,9.46824646
500,27500,56.14,9.475307465
500,27500,56.14,9.467857361
500,27500,56.14,9.475963593
500,27500,56.14,9.46830368
500,27500,56.14,9.390762329
500,27500,56.14,9.400337219
500,27500,56.14,9.477138519
500,27500,56.14,9.476089478
500,30000,64.15,13.40721512
500,30000,64.16,12.09149933
500,30000,64.14,12.06103134
500,30000,64.17,12.10977936
500,30000,64.15,12.077034
500,30000,64.15,12.05294037
500,30000,64.16,12.08625412
500,30000,64.16,12.07487106
500,30000,64.16,12.23292542
500,30000,64.17,12.23170853
500,32500,74.19,16.07733154
500,32500,74.17,14.89727783
500,32500,74.17,15.02426147
500,32500,74.18,14.93366241
500,32500,74.17,14.92436981
500,32500,74.17,14.97257614
500,32500,74.17,15.0150795
500,32500,74.17,14.93942642
500,32500,76.17,14.88195419
500,32500,74.18,14.87524033
500,35000,86.2,16.81874084
500,35000,86.33,17.71628952
500,35000,86.37,17.63061142
500,35000,86.29,17.82996368
500,35000,86.38,17.62661743
500,35000,86.39,17.59742355
500,35000,86.41,17.54507065
500,35000,86.33,17.66947174
500,35000,86.37,17.63430786
500,35000,86.38,17.64518356
500,37500,98.21,19.87132645
500,37500,96.21,19.97974396
500,37500,98.21,20.08281708
500,37500,98.23,20.11425018
500,37500,98.22,20.07409668
500,37500,98.21,20.20429993
500,37500,96.21,20.2105484
500,37500,96.21,20.356884
500,37500,112.24,20.2940979
500,37500,110.22,19.75899887
500,40000,124.29,22.61602402
500,40000,118.29,23.46559906
500,40000,110.28,22.18244553
500,40000,110.29,22.36629486
500,40000,110.29,22.3040657
500,40000,112.29,22.32987976
500,40000,110.28,22.27058411
500,40000,110.31,22.38420486
500,40000,114.3,22.28676987
500,40000,112.24,22.7637825
500,42500,124.26,24.41663742
500,42500,126.27,25.13994217
500,42500,124.25,25.32739639
500,42500,122.3,25.35380936
500,42500,124.27,25.54598236
500,42500,134.28,25.31333923
500,42500,122.52,23.31377792
500,42500,122.26,24.48034286
500,42500,122.28,24.51521301
500,42500,122.22,24.39824295
500,45000,138.7,29.11310959
500,45000,142.28,30.051548
500,45000,150.26,30.53793335
500,45000,138.3,29.86489487
500,45000,136.27,29.85837936
500,45000,136.26,29.86444092
500,45000,136.3,29.85645676
500,45000,138.29,30.29185104
500,45000,136.27,30.43255615
500,45000,136.25,30.46176529
500,47500,152.36,33.80150986
500,47500,152.28,32.7080307
500,47500,152.28,32.65296936
500,47500,152.26,32.72913361
500,47500,152.28,32.72839737
500,47500,152.28,32.80271149
500,47500,152.28,32.65176773
500,47500,152.26,32.69860077
500,47500,152.29,32.70718384
500,47500,152.32,32.75112152
500,50000,168.32,33.67594528
500,50000,168.75,34.28512955
500,50000,166.73,34.28344727
500,50000,166.72,34.41146088
500,50000,168.73,34.34242249
500,50000,168.73,34.3145752
500,50000,166.72,34.32530975
500,50000,166.72,34.33512497
500,50000,168.74,34.33682632
500,50000,168.64,34.50712585
