no_individuals,no_markers,time,peak_memory_usage
5000,1000,6.01,0.751152039
5000,1000,4.01,0.659965515
5000,1000,4.01,0.762535095
5000,1000,4.01,0.700881958
5000,1000,4.01,0.760684967
5000,1000,6.09,0.810333252
5000,1000,4.12,0.763889313
5000,1000,6.01,0.813144684
5000,1000,4.09,0.752742767
5000,1000,6.01,0.818973541
10000,1000,12.07,1.437835693
10000,1000,10.07,1.29517746
10000,1000,10.07,1.410762787
10000,1000,10.07,1.342536926
10000,1000,10.07,1.384002686
10000,1000,10.07,1.334068298
10000,1000,10.07,1.377288818
10000,1000,10.07,1.363407135
10000,1000,10.07,1.335315704
10000,1000,10.08,1.348121643
15000,1000,18.12,2.119285583
15000,1000,18.12,2.238857269
15000,1000,18.12,2.239131927
15000,1000,18.12,2.107517242
15000,1000,18.11,2.56867981
15000,1000,18.11,2.253723145
15000,1000,18.12,2.389865875
15000,1000,18.12,2.539466858
15000,1000,18.12,2.435756683
15000,1000,18.11,2.430282593
20000,1000,26.22,2.978984833
20000,1000,26.22,3.30531311
20000,1000,26.22,3.515014648
20000,1000,26.22,3.308456421
20000,1000,26.22,3.305374146
20000,1000,26.22,3.305740356
20000,1000,26.21,3.30512619
20000,1000,26.22,3.34967804
20000,1000,26.22,3.279136658
20000,1000,26.22,3.629417419
25000,1000,38.33,4.47889328
25000,1000,38.43,4.622333527
25000,1000,40.37,5.24596405
25000,1000,40.42,4.75944519
25000,1000,40.25,5.136619568
25000,1000,38.27,4.622535706
25000,1000,38.27,5.055774689
25000,1000,38.29,4.960617065
25000,1000,40.38,5.507850647
25000,1000,40.37,4.88866806
30000,1000,52.4,6.184467316
30000,1000,54.58,6.897006989
30000,1000,52.63,6.897129059
30000,1000,54.45,6.897037506
30000,1000,52.42,6.583644867
30000,1000,52.44,6.951946259
30000,1000,54.45,7.41204834
30000,1000,52.45,6.549282074
30000,1000,52.44,6.832363129
30000,1000,54.45,6.634078979
35000,1000,70.5,8.322921753
35000,1000,68.55,8.767913818
35000,1000,70.56,9.771602631
35000,1000,68.56,9.923404694
35000,1000,68.55,8.945343018
35000,1000,68.55,9.96056366
35000,1000,68.55,8.758415222
35000,1000,68.56,8.930545807
35000,1000,70.77,8.930454254
35000,1000,70.56,8.902275085
40000,1000,86.74,10.57186127
40000,1000,86.76,12.19571686
40000,1000,86.79,12.39552307
40000,1000,86.77,12.58152771
40000,1000,86.81,11.77941895
40000,1000,86.77,11.56280518
40000,1000,86.74,12.2013092
40000,1000,86.72,11.33888245
40000,1000,88.77,12.16444016
40000,1000,88.9,10.29988861
45000,1000,107.45,13.48084641
45000,1000,107.15,14.22747803
45000,1000,109.64,13.89118576
45000,1000,110.13,15.18942261
45000,1000,109.86,14.94158554
45000,1000,109.58,14.94158936
45000,1000,110.04,13.81790543
45000,1000,109.48,13.89038467
45000,1000,109.35,14.93275833
45000,1000,109.42,13.8911171
50000,1000,131.77,15.98206711
50000,1000,131.63,16.81664658
50000,1000,131.64,16.78921127
