"fat" "protein" "pH"
5.94e-05 -0.000211474 -0.00016253
-5.06e-05 -5.76e-06 -0.000773431
3.39e-05 -7.54e-05 -4.69e-05
2.61e-05 -0.000117661 0.000101487
2.09e-05 7.48e-05 6.59e-05
8.85e-05 8.42e-05 -0.000332603
4.7e-05 -8.73e-05 -4.52e-05
-1.43e-05 8.27e-05 0.000114811
-0.000218371 0.000196809 -0.000237918
-0.000188262 0.000187914 -0.000189373
-0.000124401 -2.06e-05 -0.000182459
8.33e-05 -0.000113214 -0.000164476
6.69e-05 -0.000131954 -6.42e-06
6.15e-05 -0.000157895 1.59e-05
5.87e-05 -0.000130056 -1.08e-05
8.33e-05 -3.54e-05 -0.000104181
7.2e-06 -0.000111951 -0.000169414
-0.000131323 8.96e-05 -1.14e-05
-0.00045088 1.51e-05 3.11e-05
-0.000140485 -0.000101851 -7.07e-05
-8.27e-05 -0.000120474 -8.85e-05
-3.78e-05 -0.000175905 -6.69e-05
-0.000119412 -0.000118143 -6.69e-05
-6.36e-05 -0.000201607 -0.000162875
-9.39e-05 -5.23e-05 -5e-06
-9.63e-06 -1.29e-05 8.42e-05
4.48e-05 -0.000554391 0.000188747
0.000118316 9.42e-05 0.000146433
-9.14e-05 7.84e-05 -6.74e-05
-8.93e-05 5.55e-05 -5.13e-05
0.000122122 -3.03e-05 -0.00016256
5.76e-05 -5.61e-05 6.82e-05
-1.68e-05 9.36e-06 7.1e-05
-0.000393571 5.94e-05 -0.000262829
-1.67e-05 0.000187905 4.64e-06
-8.02e-05 -0.000128357 -0.000230248
-9.77e-05 -5.91e-05 -8.33e-05
9.47e-06 0.000135171 -8.32e-05
-0.000128899 6.42e-05 6.81e-05
-0.000193946 0.000109677 -1.83e-05
-8.69e-05 2.08e-05 4.18e-05
-0.00029774 -5.34e-05 1.98e-05
7.1e-05 0.000143853 0.000176971
5.46e-05 2.67e-06 -1.87e-05
2.17e-05 -4.51e-06 -0.000425657
9.21e-05 -0.00012011 -6.65e-05
-0.000396018 9.6e-05 4.06e-05
-0.000141443 6.02e-05 0.000118673
0.000161771 -4.78e-05 4.34e-05
-2.09e-05 -8.29e-05 6.38e-05
-0.0001051 -0.000332636 7.81e-05
-0.000653441 -2.48e-05 -8.82e-05
-0.000109665 -8.72e-06 -0.000373221
0.000119064 -1.02e-05 9.99e-05
0.000164826 0.000142372 -0.000137656
0.000201914 2.88e-05 0.000125336
-1.88e-05 7.44e-05 -5.82e-05
0.000184108 -7.63e-05 1.19e-05
4.85e-06 -0.000136759 -1.4e-06
3.78e-05 0.000165396 -2.5e-05
0.00015262 -1.82e-05 4.92e-06
0.000113066 -0.000237592 -8.24e-06
-7.49e-05 -4.22e-05 4.83e-05
3.5e-05 0.000122019 0.000167967
-0.000303131 -3.98e-05 1.25e-05
-0.000106417 -0.0007645 -6.26e-05
-8.81e-05 -0.000163628 4.85e-05
3.99e-05 -0.000245745 -4.38e-05
-0.000152456 -0.000124778 -3.1e-05
-0.000121595 -6.25e-06 -0.000117412
2.28e-05 -0.000209223 1.15e-05
-2.36e-05 -0.000337835 -1.31e-05
5.16e-06 1.56e-05 5.23e-05
3.08e-05 -1.58e-05 0.000168472
5.73e-06 -4.55e-05 1.64e-05
1.69e-06 -8.81e-05 9.96e-05
-1.35e-05 -6.23e-05 6.09e-05
-8.48e-06 -6.58e-05 2.49e-05
-0.000180805 8.81e-05 -0.000323032
-8.67e-05 0.000167294 -0.000366991
-5.03e-05 0.000111653 -0.000744969
-2.93e-05 -1.51e-05 0.000371978
-6.71e-05 -0.000167514 -6.57e-05
-1.37e-05 -0.000222873 -2.05e-05
-3.88e-05 -0.000112207 -2.85e-05
6.15e-06 0.000116174 3.81e-05
-0.000103702 0.000229007 -7.97e-05
-3.89e-05 2.21e-05 6.26e-05
6.82e-05 0.000171147 0.000287029
3.78e-05 -7.44e-05 -1.27e-05
-5.06e-05 -0.000177556 -3.19e-05
1.58e-05 -8.44e-06 -8.52e-05
-0.000126416 -7.65e-05 5.29e-05
4.47e-05 -4.09e-06 -0.000116293
3.09e-05 -2.68e-05 -0.000145695
-5.98e-05 4.12e-05 -2.86e-06
-0.000129949 -3.54e-05 -3.63e-05
-1.41e-05 4.35e-05 -9.96e-05
-2.7e-07 4.36e-05 -3.17e-06
0.000145119 1.61e-05 -4.22e-05
2.47e-05 7.81e-06 -1.42e-05
-5.59e-05 -4.54e-05 6.45e-05
-0.000114294 4.89e-05 -1.6e-05
0.000143902 0.000188538 1.34e-05
7.64e-05 -5.8e-05 -5.8e-05
-0.00034797 -7.78e-05 -0.00052215
0.000123802 2.68e-05 -9.13e-05
5.12e-05 5.97e-05 -0.000122315
6.97e-05 4.92e-05 -0.000365914
-4.65e-05 -0.000116033 7.23e-05
-0.000178941 -0.000156263 -5.44e-05
0.000150173 -0.000129807 0.00015048
-5.9e-05 5.88e-05 1.42e-05
6.19e-06 6.18e-05 -0.000129177
